436,2207,641,2203,642,2256,437,2260
38,624,230,625,230,670,37,668
519,285,725,283,726,331,520,333
551,456,648,455,648,489,552,491
349,284,537,283,538,332,349,333
640,797,808,799,807,843,639,841
608,54,778,50,779,94,609,98
33,797,219,794,220,845,34,848
232,399,352,401,351,440,231,439
406,456,527,451,529,490,407,495
301,51,473,50,473,96,301,96
326,620,435,620,435,670,326,671
466,50,615,49,616,96,466,97
760,409,843,406,844,439,761,442
441,406,575,404,575,437,442,439
497,799,642,799,642,842,497,842
660,405,756,404,757,439,660,439
354,409,436,406,438,438,356,441
585,405,654,402,655,437,586,439
334,805,407,799,410,840,337,846
