419,1205,665,1204,665,1256,419,1256
456,1629,609,1625,610,1661,457,1665
186,1541,417,1534,419,1585,187,1592
629,2080,849,2075,850,2121,630,2126
729,1545,937,1546,937,1586,729,1586
587,1932,784,1927,785,1965,588,1970
277,2215,418,2210,419,2242,278,2247
517,1540,728,1540,728,1586,517,1586
355,1772,563,1766,565,1811,356,1817
304,2081,515,2078,516,2122,305,2124
662,1775,837,1773,837,1817,662,1819
626,2212,735,2211,735,2241,626,2242
100,2211,237,2215,236,2248,99,2245
792,2211,897,2214,897,2245,791,2242
863,84,931,87,929,118,862,114
895,2211,985,2214,984,2243,894,2241
296,1927,398,1928,397,1972,295,1971
439,2216,497,2217,497,2241,438,2240
565,1774,668,1770,669,1812,566,1815
459,1927,535,1924,536,1964,461,1967
504,2214,587,2215,587,2241,504,2241
515,2085,622,2080,624,2117,517,2122
232,2216,284,2220,282,2249,229,2245
396,1935,462,1933,463,1969,397,1970
534,1935,595,1932,597,1965,536,1968
731,2215,795,2216,794,2243,731,2242
591,2215,635,2213,636,2241,593,2243
925,86,971,84,972,113,926,115
