95,651,299,651,300,687,95,687
467,2224,611,2221,612,2269,468,2273
78,263,340,256,342,317,79,324
292,497,489,497,489,541,292,541
184,2099,364,2098,365,2131,185,2132
224,47,355,50,354,81,223,78
372,366,562,363,562,398,373,401
339,259,565,255,566,318,340,322
89,496,236,497,236,541,89,541
61,359,177,356,178,403,62,405
48,48,141,45,142,79,48,81
57,2100,184,2093,186,2135,59,2142
180,359,271,358,272,399,181,400
133,45,212,48,211,80,132,78
275,368,370,363,372,400,277,405
851,63,879,63,879,76,851,77
987,51,1017,51,1017,71,987,70
