453,601,631,603,630,649,453,647
573,44,832,47,831,97,573,94
351,53,576,56,575,95,351,93
46,249,214,249,214,296,46,296
628,248,802,249,801,296,628,295
801,399,905,397,906,443,802,446
49,401,155,402,154,448,48,446
390,398,505,399,504,447,389,446
216,400,320,398,321,443,217,446
633,401,741,403,740,447,633,445
235,50,308,44,312,92,239,98
558,409,629,406,631,443,560,445
353,249,464,249,464,294,353,294
152,406,213,400,217,441,156,447
735,404,795,397,800,442,740,448
498,405,555,404,555,444,499,445
305,44,363,46,362,96,303,94
