434,582,643,586,642,622,433,617
118,875,293,876,293,909,117,908
118,1530,211,1530,211,1569,118,1570
216,720,366,721,366,764,216,763
436,1839,533,1839,533,1871,436,1871
207,313,431,308,432,378,208,383
631,312,864,314,864,379,630,377
397,1690,524,1693,523,1726,396,1723
523,1690,655,1691,655,1726,523,1725
203,1019,313,1021,313,1057,203,1055
264,1320,342,1321,341,1359,263,1358
533,463,650,460,651,499,534,502
868,464,995,467,994,501,867,497
690,520,886,519,887,562,690,563
415,315,623,306,626,377,418,386
300,1795,430,1795,429,1825,300,1825
200,1167,312,1168,312,1203,200,1203
477,1990,551,1991,550,2033,477,2032
238,49,353,50,352,79,238,77
121,723,220,723,220,762,121,762
377,459,530,460,529,501,377,500
166,1693,256,1692,257,1724,166,1725
484,2120,629,2121,628,2156,484,2155
816,1405,947,1410,945,1447,814,1441
47,48,138,46,139,76,48,79
289,1408,421,1410,421,1445,289,1443
92,461,208,463,207,502,91,500
207,470,287,466,289,498,209,502
530,518,693,522,692,563,529,558
442,521,527,522,526,560,441,559
626,1790,721,1791,720,1826,626,1825
426,1414,537,1413,537,1442,426,1443
335,2119,455,2121,454,2158,335,2156
866,1651,997,1654,996,1688,865,1684
726,1790,833,1795,832,1830,724,1825
119,1020,199,1019,199,1056,120,1057
312,521,392,523,391,561,311,559
293,461,379,462,378,500,292,499
120,1167,199,1166,199,1202,120,1204
176,1315,253,1317,252,1352,175,1350
886,528,954,526,955,557,887,560
630,2120,701,2124,699,2159,628,2155
531,1654,657,1651,658,1687,532,1690
542,1412,623,1419,621,1447,540,1440
128,1793,255,1791,256,1825,129,1827
167,1652,237,1655,235,1689,166,1687
140,48,205,47,206,78,141,79
737,1654,810,1654,810,1685,737,1685
334,1655,436,1654,436,1686,334,1686
649,464,718,462,719,497,649,499
932,1795,993,1794,994,1823,933,1825
568,1838,641,1839,641,1868,568,1867
133,1410,190,1409,191,1443,134,1443
436,1796,499,1795,500,1827,437,1829
325,1696,393,1693,394,1724,326,1727
837,1790,933,1795,931,1828,835,1822
788,458,860,460,859,501,787,499
117,1315,172,1316,172,1354,116,1353
220,1409,292,1412,291,1445,218,1441
234,525,308,531,305,564,231,558
741,1417,810,1414,811,1442,742,1445
660,1651,735,1653,734,1687,659,1685
169,521,228,522,228,560,168,559
551,1990,600,1990,601,2029,551,2030
625,1417,693,1413,694,1442,627,1446
498,1797,584,1793,585,1824,499,1827
695,1415,743,1416,742,1443,694,1442
258,1796,303,1796,303,1824,258,1824
283,1651,332,1653,331,1688,281,1685
892,57,956,51,958,77,894,82
812,1657,858,1658,857,1686,811,1685
88,1790,133,1795,129,1831,83,1826
392,524,440,523,441,560,393,561
848,62,878,62,878,76,848,76
261,1692,321,1693,321,1724,260,1724
122,523,165,522,166,560,123,561
897,44,926,44,926,59,897,60
587,1792,629,1792,629,1825,588,1825
237,1658,281,1659,281,1689,237,1689
985,52,1018,53,1017,72,985,71
437,1652,479,1654,478,1688,436,1686
473,1657,531,1653,533,1686,475,1689
721,464,784,459,787,499,724,503
849,50,875,49,876,63,850,64
701,2121,745,2124,743,2155,699,2153
534,1841,574,1838,577,1865,536,1868
